lineup_num,players,salary,projection,mean_payout,roi_pct
119,Keith Mitchell | Rasmus Hojgaard | Davis Thompson | Matt Wallace | Beau Hossler | Matthieu Pavon,49500,241.3,15.26,205.2
120,Nicolai Hojgaard | Daniel Berger | Joel Dahmen | Takumi Kanaya | Chad Ramey | Dylan Wu,48400,237.7,13.29,165.8
121,Ryan Gerard | Davis Thompson | Alex Smalley | Zecheng Dou | Adrien Saddier | Eric Cole,49600,242.0,15.07,201.4
122,Rasmus Hojgaard | Thorbjorn Olesen | Mackenzie Hughes | Max Homa | Christiaan Bezuidenhout | Matt Wallace,48900,243.2,17.32,246.4
123,Rasmus Hojgaard | Max McGreevy | John Parry | Zecheng Dou | Brooks Koepka | Adrien Saddier,50000,240.6,13.55,171.0
124,Shane Lowry | Daniel Berger | Aaron Rai | Adrien Dumont De Chassart | Mark Hubbard | A.J. Ewart,49400,238.5,12.72,154.3
125,Ryan Gerard | Rasmus Neergaard-Petersen | Max Homa | Ricky Castillo | Austin Eckroat | Zecheng Dou,49400,243.6,16.50,230.0
126,Shane Lowry | Nicolai Hojgaard | Garrick Higgo | Tom Kim | Billy Horschel | Hank Lebioda,49800,241.0,15.05,201.1
127,Michael Brennan | Aaron Rai | Kristoffer Reitan | Joel Dahmen | Hao-Tong Li | David Ford,48800,238.9,13.48,169.6
128,Rasmus Hojgaard | Max McGreevy | Rasmus Neergaard-Petersen | Matt Wallace | Sudarshan Yellamaraju | Lee Hodges,49000,241.1,15.41,208.2
129,Ryan Gerard | Alex Smalley | Thorbjorn Olesen | Austin Eckroat | Adrien Saddier | Sudarshan Yellamaraju,48600,242.7,16.64,232.8
130,Shane Lowry | Jordan L. Smith | Hao-Tong Li | Seamus Power | William Mouw | Dylan Wu,48100,238.3,12.04,140.7
131,Nicolai Hojgaard | Jordan L. Smith | Kristoffer Reitan | Joel Dahmen | Chandler Phillips | Taylor Moore,48200,239.3,13.84,176.9
132,Keith Mitchell | Rasmus Hojgaard | Mackenzie Hughes | Brooks Koepka | Sudarshan Yellamaraju | Matthieu Pavon,49100,240.1,13.91,178.1
133,Alex Smalley | Rasmus Neergaard-Petersen | John Parry | Christiaan Bezuidenhout | Zecheng Dou | Chan Kim,48600,238.2,12.52,150.4
134,Shane Lowry | Nicolai Hojgaard | Nicolas Echavarria | Kevin Roy | Dylan Wu | Patrick Fishburn,49600,240.1,12.86,157.1
135,Ryan Gerard | Rasmus Neergaard-Petersen | Matt Wallace | Austin Eckroat | Beau Hossler | Chan Kim,48300,240.6,14.12,182.5
136,Nicolai Hojgaard | Daniel Berger | Hao-Tong Li | Billy Horschel | Adrien Dumont De Chassart | David Ford,49700,238.5,12.20,144.1
137,Keith Mitchell | Alex Smalley | Mackenzie Hughes | Max Homa | Lee Hodges | Eric Cole,48300,240.6,14.29,185.7
138,Daniel Berger | Aaron Rai | Nicolas Echavarria | Garrick Higgo | Hao-Tong Li | Mark Hubbard,49600,238.7,12.36,147.2
139,Nicolai Hojgaard | Aaron Rai | Kristoffer Reitan | Austin Smotherman | Adrien Dumont De Chassart | Carson Young,48500,237.8,11.60,131.9
140,Keith Mitchell | Max McGreevy | Matt Wallace | Zecheng Dou | Brooks Koepka | Chan Kim,49100,239.3,12.81,156.3
141,Shane Lowry | Joel Dahmen | Hao-Tong Li | Billy Horschel | Mark Hubbard | Zachary Bauchou,48300,236.1,11.56,131.1
142,Shane Lowry | Michael Brennan | Nicolas Echavarria | Seamus Power | Matti Schmid | Chandler Phillips,48700,239.6,13.70,174.0
143,Nicolai Hojgaard | Daniel Berger | Nicolas Echavarria | Emiliano Grillo | William Mouw | Adrien Dumont De Chassart,48000,239.5,13.55,171.1
144,Ryan Gerard | Max McGreevy | John Parry | Austin Eckroat | Sudarshan Yellamaraju | Daniel Brown,48500,242.7,16.80,236.1
145,Shane Lowry | Daniel Berger | Billy Horschel | Emiliano Grillo | Seamus Power | Patrick Fishburn,49200,237.3,11.31,126.2
146,Daniel Berger | Michael Brennan | Kristoffer Reitan | Hao-Tong Li | Austin Smotherman | Dylan Wu,48500,238.2,12.97,159.4
147,Rasmus Hojgaard | Rasmus Neergaard-Petersen | Christiaan Bezuidenhout | Adrien Saddier | Lee Hodges | Eric Cole,49500,238.4,13.03,160.6
148,Ryan Gerard | Rasmus Hojgaard | Max McGreevy | Matt Wallace | Matthieu Pavon | Ben Silverman,49200,240.6,14.91,198.2
149,Shane Lowry | Daniel Berger | Michael Brennan | Jordan L. Smith | Garrick Higgo | Takumi Kanaya,49700,243.8,16.82,236.4
150,Ryan Gerard | Keith Mitchell | Mackenzie Hughes | Christiaan Bezuidenhout | Matt Wallace | Daniel Brown,50000,245.8,17.50,250.0
