Lineup #,G,G,G,G,G,G,Salary,Proj Pts,Proj ROI %,Geomean Own %
9385,Shane Lowry,Ryan Gerard,Rasmus Neergaard-Petersen,Matt Wallace,Austin Eckroat,Christo Lamprecht,49700,419.7,9.0,7.1
1190,Shane Lowry,Ryan Gerard,Will Zalatoris,Kristoffer Reitan,Vince Whaley,Seonghyeon Kim,49800,429.9,1.0,9.22
6311,Shane Lowry,Rasmus Hojgaard,Nicolai Hojgaard,Kevin Yu,Joel Dahmen,Keita Nakajima,49800,422.6,8.1,7.59
600,Shane Lowry,Ryan Gerard,Max McGreevy,Rico Hoey,Nicolas Echavarria,Christo Lamprecht,49200,431.9,1.4,9.56
1464,Ryan Gerard,Michael Thorbjornsen,Alex Smalley,Garrick Higgo,Michael Brennan,Adrien Dumont De Chassart,48500,429.3,-0.2,9.31
9944,Rasmus Hojgaard,Nicolai Hojgaard,Alex Smalley,John Parry,Matt Wallace,Adrien Saddier,48800,419.1,12.3,6.72
9521,Ryan Gerard,Keith Mitchell,Thorbjorn Olesen,Kristoffer Reitan,Jesper Svensson,Adrien Saddier,48900,419.5,13.5,6.4
2423,Ryan Gerard,Nicolai Hojgaard,Daniel Berger,Kristoffer Reitan,Beau Hossler,Adrien Dumont De Chassart,49400,427.4,0.5,9.18
7028,Shane Lowry,Ryan Gerard,Rasmus Hojgaard,Emiliano Grillo,Joel Dahmen,Adam Svensson,49800,421.9,7.1,7.51
2503,Shane Lowry,Ryan Gerard,Daniel Berger,Mac Meissner,Seonghyeon Kim,William Mouw,50000,427.3,4.2,8.73
6833,Shane Lowry,Ryan Gerard,Keith Mitchell,Kevin Roy,Billy Horschel,Adrien Saddier,49800,422.1,6.2,7.99
3531,Shane Lowry,Rasmus Hojgaard,Nicolai Hojgaard,Kristoffer Reitan,Dylan Wu,Isaiah Salinda,49900,425.7,5.8,7.95
8335,Shane Lowry,Ryan Gerard,Aaron Rai,Mac Meissner,Matti Schmid,Keita Nakajima,49800,420.7,10.7,7.12
2192,Shane Lowry,Ryan Gerard,Michael Thorbjornsen,Eric Cole,Vince Whaley,Dylan Wu,50000,427.8,5.1,8.31
8829,Shane Lowry,Christiaan Bezuidenhout,Max McGreevy,Mac Meissner,Jordan L. Smith,Webb Simpson,49300,420.2,8.1,7.56
2239,Nicolai Hojgaard,Michael Thorbjornsen,Rasmus Neergaard-Petersen,Jordan L. Smith,Rico Hoey,Chad Ramey,50000,427.7,4.9,8.3
8298,Shane Lowry,Michael Thorbjornsen,Thorbjorn Olesen,Rico Hoey,Kris Ventura,Takumi Kanaya,49300,420.7,8.1,7.11
3920,Shane Lowry,Ryan Gerard,Alex Smalley,Seamus Power,Kris Ventura,Chad Ramey,49600,425.3,6.6,7.79
6353,Shane Lowry,Keith Mitchell,Michael Thorbjornsen,Nicolas Echavarria,Jesper Svensson,Adrien Saddier,49500,422.6,6.7,7.95
2383,Ryan Gerard,Michael Thorbjornsen,Daniel Berger,Jordan L. Smith,Mackenzie Hughes,Dylan Wu,49900,427.4,0.7,9.15
6437,Ryan Gerard,Nicolai Hojgaard,Davis Thompson,Max Homa,Joel Dahmen,Keita Nakajima,49300,422.5,5.0,8.28
9169,Ryan Gerard,Nicolai Hojgaard,Thorbjorn Olesen,Mackenzie Hughes,Adrien Dumont De Chassart,Webb Simpson,48600,419.9,14.8,6.33
11839,Ryan Gerard,Keith Mitchell,Michael Thorbjornsen,Gary Woodland,Steven Fisk,Adrien Saddier,48800,417.5,19.7,5.67
817,Shane Lowry,Nicolai Hojgaard,Alex Smalley,Mac Meissner,Garrick Higgo,Beau Hossler,49800,431.1,0.2,9.41
4378,Shane Lowry,Nicolai Hojgaard,Mac Meissner,John Keefer,Emiliano Grillo,Chad Ramey,49200,424.7,3.0,8.7
8520,Ryan Gerard,Rasmus Neergaard-Petersen,Thorbjorn Olesen,Max McGreevy,Tom Kim,John VanDerLaan,49300,420.5,16.8,6.66
9239,Ryan Gerard,Rasmus Hojgaard,Nicolai Hojgaard,Nicolas Echavarria,William Mouw,Christo Lamprecht,48900,419.8,14.0,6.74
10550,Ryan Gerard,Keith Mitchell,Rasmus Neergaard-Petersen,Matt Wallace,Joel Dahmen,Adrien Saddier,49200,418.6,14.9,6.17
7865,Shane Lowry,Keith Mitchell,Davis Thompson,Max McGreevy,Eric Cole,William Mouw,49800,421.1,5.6,7.98
1724,Shane Lowry,Ryan Gerard,Michael Thorbjornsen,Nicolas Echavarria,Joel Dahmen,Chan Kim,50000,428.7,2.8,9.13
3103,Ryan Gerard,Rasmus Hojgaard,Nicolai Hojgaard,Tom Kim,Seonghyeon Kim,Adam Svensson,49500,426.3,1.1,9.19
8802,Shane Lowry,Ryan Gerard,Alex Smalley,Nicolas Echavarria,Billy Horschel,John VanDerLaan,48800,420.2,12.4,7.47

GOLFER EXPOSURE
Golfer,Lineups,Exposure % (of 150)
Ryan Gerard,103,68.7
Shane Lowry,69,46.0
Nicolai Hojgaard,55,36.7
Keith Mitchell,35,23.3
Rasmus Hojgaard,34,22.7
Michael Thorbjornsen,33,22.0
Rico Hoey,23,15.3
Max McGreevy,23,15.3
Davis Thompson,22,14.7
Matt Wallace,21,14.0
Vince Whaley,19,12.7
Rasmus Neergaard-Petersen,19,12.7
Kristoffer Reitan,18,12.0
Alex Smalley,17,11.3
Mac Meissner,17,11.3
Jordan L. Smith,16,10.7
Dylan Wu,16,10.7
Kris Ventura,15,10.0
Adrien Saddier,15,10.0
Garrick Higgo,15,10.0
Nicolas Echavarria,14,9.3
Seonghyeon Kim,13,8.7
Michael Brennan,13,8.7
Chad Ramey,13,8.7
Thorbjorn Olesen,12,8.0
Mackenzie Hughes,12,8.0
Kevin Yu,11,7.3
Jesper Svensson,11,7.3
Ricky Castillo,9,6.0
Adrien Dumont De Chassart,9,6.0
Webb Simpson,9,6.0
Steven Fisk,8,5.3
Emiliano Grillo,8,5.3
John VanDerLaan,8,5.3
Daniel Berger,8,5.3
Beau Hossler,8,5.3
Chan Kim,8,5.3
Gary Woodland,8,5.3
Doug Ghim,7,4.7
Christiaan Bezuidenhout,7,4.7
John Keefer,6,4.0
Keita Nakajima,6,4.0
John Parry,6,4.0
Tom Kim,6,4.0
Takumi Kanaya,6,4.0
William Mouw,6,4.0
Adam Svensson,6,4.0
Will Zalatoris,6,4.0
Christo Lamprecht,6,4.0
Joel Dahmen,6,4.0
Mark Hubbard,5,3.3
Eric Cole,5,3.3
Chandler Blanchet,5,3.3
Chris Kirk,5,3.3
Zecheng Dou,4,2.7
Matti Schmid,4,2.7
Isaiah Salinda,4,2.7
Kevin Roy,3,2.0
Billy Horschel,3,2.0
Stephan Jaeger,3,2.0
Sami Valimaki,2,1.3
Chandler Phillips,2,1.3
Aaron Rai,2,1.3
Austin Eckroat,2,1.3
Max Homa,2,1.3
Taylor Moore,1,0.7
Karl Vilips,1,0.7
Jackson Suber,1,0.7
Lee Hodges,1,0.7
Austin Smotherman,1,0.7
Hao-Tong Li,1,0.7
Daniel Brown,1,0.7
Seamus Power,1,0.7
