Lineup #,G,G,G,G,G,G,Salary,Proj Pts,Proj ROI %,Geomean Own %
2514,Dustin Johnson,Tyrrell Hatton,Cameron Smith,Harris English,Francesco Molinari,Mackenzie Hughes,49200,542.1,17.2,4.43
4453,Rory McIlroy,Collin Morikawa,Tyrrell Hatton,Brian Harman,Kevin Kisner,Lanto Griffin,48600,539.7,5.8,5.4
1514,Dustin Johnson,Brooks Koepka,Webb Simpson,Victor Perez,Matt Kuchar,Carlos Ortiz,50000,544.0,3.6,5.83
518,Dustin Johnson,Tyrrell Hatton,Scottie Scheffler,Bubba Watson,Billy Horschel,Brendon Todd,50000,547.0,5.8,5.51
1995,Dustin Johnson,Rory McIlroy,Tony Finau,Matt Wallace,Matt Jones,Stewart Cink,49600,543.0,2.7,6.14
2601,Dustin Johnson,Tony Finau,Webb Simpson,Marc Leishman,Robert Macintyre,Zach Johnson,49300,542.0,1.8,6.25
8660,Jon Rahm,Xander Schauffele,Collin Morikawa,Carlos Ortiz,Ryan Palmer,Tyler Strafaci,49800,536.0,34.7,4.39
1793,Dustin Johnson,Tyrrell Hatton,Adam Scott,Louis Oosthuizen,Will Zalatoris,Mackenzie Hughes,49100,543.4,1.8,6.93
6230,Dustin Johnson,Webb Simpson,Lee Westwood,Will Zalatoris,Matt Kuchar,Tyler Strafaci,49600,538.0,30.0,5.02
4935,Bryson DeChambeau,Brooks Koepka,Tyrrell Hatton,Will Zalatoris,Jason Kokrak,Danny Willett,49700,539.2,6.4,5.8
1907,Justin Thomas,Collin Morikawa,Brooks Koepka,Harris English,Kevin Kisner,Mackenzie Hughes,49700,543.1,13.6,4.83
2645,Dustin Johnson,Bryson DeChambeau,Tommy Fleetwood,Max Homa,Mackenzie Hughes,Brendon Todd,49900,541.9,6.1,5.82

GOLFER EXPOSURE
Golfer,Lineups,Exposure % (of 150)
Dustin Johnson,97,64.7
Tyrrell Hatton,46,30.7
Tony Finau,31,20.7
Ian Poulter,29,19.3
Brooks Koepka,29,19.3
Jon Rahm,28,18.7
Scottie Scheffler,25,16.7
Collin Morikawa,23,15.3
Mackenzie Hughes,23,15.3
Matt Jones,22,14.7
Zach Johnson,22,14.7
Bryson DeChambeau,21,14.0
Francesco Molinari,21,14.0
Lee Westwood,20,13.3
Victor Perez,20,13.3
Patrick Reed,20,13.3
Tyler Strafaci,19,12.7
Jason Kokrak,18,12.0
Harris English,17,11.3
Justin Thomas,17,11.3
Brian Harman,17,11.3
Lanto Griffin,16,10.7
Christiaan Bezuidenhout,14,9.3
Carlos Ortiz,14,9.3
Billy Horschel,13,8.7
Robert Macintyre,13,8.7
Shane Lowry,13,8.7
Max Homa,12,8.0
Webb Simpson,12,8.0
Rory McIlroy,12,8.0
Brendon Todd,12,8.0
Stewart Cink,11,7.3
Kevin Kisner,11,7.3
Martin Laird,10,6.7
Xander Schauffele,9,6.0
Si Woo Kim,9,6.0
Michael Thompson,9,6.0
Matthew Fitzpatrick,8,5.3
Adam Scott,8,5.3
Justin Rose,8,5.3
Louis Oosthuizen,8,5.3
Bernd Wiesberger,7,4.7
Sungjae Im,6,4.0
Viktor Hovland,6,4.0
Bubba Watson,6,4.0
Daniel Berger,6,4.0
Danny Willett,6,4.0
Robert Streb,6,4.0
Hideki Matsuyama,5,3.3
Gary Woodland,5,3.3
Matt Wallace,5,3.3
Tommy Fleetwood,5,3.3
Abraham Ancer,5,3.3
Will Zalatoris,5,3.3
Sebastian Munoz,4,2.7
Matt Kuchar,4,2.7
Sergio Garcia,4,2.7
Cheng-Tsung Pan,4,2.7
Corey Conners,3,2.0
Cameron Champ,3,2.0
Ryan Palmer,3,2.0
Cameron Smith,2,1.3
Marc Leishman,2,1.3
Kevin Na,1,0.7
Fred Couples,1,0.7
Angel Cabrera,1,0.7
Charl Schwartzel,1,0.7
Jim Herman,1,0.7
Hudson Swafford,1,0.7
Matthew Wolff,1,0.7
Dylan Frittelli,1,0.7
Jordan Spieth,1,0.7
Jason Day,1,0.7
Patrick Cantlay,1,0.7
