#,G,G,G,G,G,G,Salary,Proj,Mean Payout,ROI%
Kevin Roy,"$7,500",39.6,14,9.3%,42130737
Beau Hossler,"$7,400",38.6,14,9.3%,42130743
Tom Kim,"$7,300",39.5,13,8.7%,42130748
Steven Fisk,"$7,100",38.2,13,8.7%,42130754
Billy Horschel,"$7,700",38.8,11,7.3%,42130730
Adrien Dumont De Chassart,"$6,500",38.5,11,7.3%,42130784
Brooks Koepka,"$9,000",39.0,11,7.3%,42130712
Joel Dahmen,"$7,800",39.6,10,6.7%,42130728
Seamus Power,"$7,800",38.7,10,6.7%,42130726
Emiliano Grillo,"$6,900",38.8,9,6.0%,42130766
Takumi Kanaya,"$6,700",38.3,9,6.0%,42130775
Chad Ramey,"$7,400",38.2,9,6.0%,42130742
Matti Schmid,"$7,500",38.4,9,6.0%,42130739
William Mouw,"$6,700",38.6,8,5.3%,42130773
Chandler Phillips,"$6,700",38.4,8,5.3%,42130774
Chan Kim,"$7,100",37.7,8,5.3%,42130753
David Ford,"$6,900",38.1,8,5.3%,42130765
Austin Smotherman,"$7,500",38.7,8,5.3%,42130740
Eric Cole,"$7,600",38.1,7,4.7%,42130734
Matthieu Pavon,"$6,600",37.2,7,4.7%,42130779
Mark Hubbard,"$6,800",37.9,7,4.7%,42130771
Taylor Moore,"$7,700",37.9,7,4.7%,42130731
Jackson Suber,"$7,400",37.5,6,4.0%,42130741
Dylan Wu,"$6,600",37.9,6,4.0%,42130777
Zachary Bauchou,"$6,500",37.1,4,2.7%,42130783
Carson Young,"$6,700",37.0,3,2.0%,42130776
A.J. Ewart,"$6,400",37.2,3,2.0%,42130794
Hank Lebioda,"$6,500",36.8,2,1.3%,42130788
Ben Silverman,"$6,200",36.1,2,1.3%,42130807
Kevin Streelman,"$6,300",34.4,1,0.7%,42130795
Adam Schenk,"$6,400",36.0,1,0.7%,42130792
Pontus Nyholm,"$6,400",35.4,1,0.7%,42130789
Joe Highsmith,"$6,600",35.7,0,0.0%,42130782
Patton Kizzire,"$6,500",35.2,0,0.0%,42130786
Jimmy Stanger,"$6,400",34.0,0,0.0%,42130793
Patrick Fishburn,"$6,400",36.7,0,0.0%,42130791
Danny Walker,"$6,100",34.6,0,0.0%,42130814

PORTFOLIO STATS,,,,,
Lineups,150,,,,
Investment,$750,,,,
